SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;;;;;;
(1)Pendidikan kita saat ini setidaknya dihadapkan […] tiga masalah besar. (2)Masalah tersebut terkait dengan mutu, motivasi, dan pemerataan pendidikan. (3)Secara umum, saat ini pendidikan kita lebih menjalankan akumulasi pengetahuan yang bersifat […] daripada penguasaan keterampilan dan pembentukan kepribadian. (4)Pola motivasi sebagian besar peserta didik lebih kepada penampilan daripada pencapaian. (5)Bentuk motivasi ini lebih mengutamakan ijazah atau gelar daripada […] yang benar-benar dikuasai atau mampu dikerjakan. (6)Pendidikan kita belum berhasil meningkatkan kualitas hasil belajar sebagian besar peserta didik yang umumnya [...] sedang atau kurang. (7)Pendidikan kita mungkin baru berhasil meningkatkan kemampuan peserta didik yang merupakan bibit unggul. Kata yang paling tepat untuk melengkapi titik-titik pada kalimat 6 adalah ….;Berkemauan;Berkeuangan;Berkekurangan;Berkemampuan;Berketerampilan;d;;;;;;Maksud kalimat 6 adalah kualitas hasil belajar belum berhasil ditingkatkan karena banyak peserta didik yang mempunyai kemampuan sedang atau rendah. “Mempunyai kemampuan bisa diganti dengan kata berkemampuan. Jadi, kata yang paling tepat pada kalimat 6 adalah berkemampuan (D).
(1)Pendidikan kita saat ini setidaknya dihadapkan […] tiga masalah besar. (2)Masalah tersebut terkait dengan mutu, motivasi, dan pemerataan pendidikan. (3)Secara umum, saat ini pendidikan kita lebih menjalankan akumulasi pengetahuan yang bersifat […] daripada penguasaan keterampilan dan pembentukan kepribadian. (4)Pola motivasi sebagian besar peserta didik lebih kepada penampilan daripada pencapaian. (5)Bentuk motivasi ini lebih mengutamakan ijazah atau gelar daripada […] yang benar-benar dikuasai atau mampu dikerjakan. (6)Pendidikan kita belum berhasil meningkatkan kualitas hasil belajar sebagian besar peserta didik yang umumnya [...] sedang atau kurang. (7)Pendidikan kita mungkin baru berhasil meningkatkan kemampuan peserta didik yang merupakan bibit unggul. Kata berimbuhan yang salah digunakan pada paragraf tersebut adalah ….;Pemerataan;Kepribadian;Menjalankan;Meningkatkan;Mengutamakan;c;;;;;;Kata menjalankan pada kalimat 3 kurang tepat, seharusnya diganti mengutamakan. Jadi, kata berimbuhan yang salah digunakan pada paragraf tersebut adalah menjalankan (C).
Tulisan berikut diikuti oleh delapan butir pertanyaan. Pertimbangkan apakah kata atau kalimat pada setiap nomor bercetak tebal TIDAK PERLU DIPERBAIKI (A) atau diganti dengan pilihan lain yang tersedia (B, C, D, atau E).                                                                                          Jahe (Zingiber officinale var Roscoe) termasuk salah satu (1)komoditas rempah yang sangat penting di Indonesia. Berdasarkan data (2)statika, produksi jahe (3)nasional tahun 2009 mencapai lebih dari 154 ton dan diperkirakan akan terus meningkat. Menurut data BPS tahun 2010, luas penanaman rimpang jahe yang tersebar di seluruh wilayah (4)nusantara mencapai lebih dari 60 juta m2. Daerah utama penghasil jahe (5)yaitu Jawa Tengah dan Jawa Timur. Saat ini, Indonesia menempati peringkat ketiga setelah India dan China dalam (6)kontribusi produksi jahe dunia. Rempah-rempah Indonesia telah dikenal hingga (7)manca negara sehingga memiliki peluang pasar yang baik. Oleh karena itu, Indonesia diharapkan dapat (8)menjadi pasar rempah dunia.Soal No.1;Tidak perlu diperbaiki;Niaga;Pasokan;Cadangan;Akomodasi;a;;;;;;Kata “komoditas” tidak perlu diperbaiki karena sudah tepat. Jadi, jawabannya adalah opsi (A).
Tulisan berikut diikuti oleh delapan butir pertanyaan. Pertimbangkan apakah kata atau kalimat pada setiap nomor bercetak tebal TIDAK PERLU DIPERBAIKI (A) atau diganti dengan pilihan lain yang tersedia (B, C, D, atau E).                                                                                          Jahe (Zingiber officinale var Roscoe) termasuk salah satu (1)komoditas rempah yang sangat penting di Indonesia. Berdasarkan data (2)statika, produksi jahe (3)nasional tahun 2009 mencapai lebih dari 154 ton dan diperkirakan akan terus meningkat. Menurut data BPS tahun 2010, luas penanaman rimpang jahe yang tersebar di seluruh wilayah (4)nusantara mencapai lebih dari 60 juta m2. Daerah utama penghasil jahe (5)yaitu Jawa Tengah dan Jawa Timur. Saat ini, Indonesia menempati peringkat ketiga setelah India dan China dalam (6)kontribusi produksi jahe dunia. Rempah-rempah Indonesia telah dikenal hingga (7)manca negara sehingga memiliki peluang pasar yang baik. Oleh karena itu, Indonesia diharapkan dapat (8)menjadi pasar rempah dunia.Soal No.2;Tidak perlu diperbaiki;Statis;Statik;Statistik;Statistika;e;;;;;;Statika adalah cabang ilmu mekanika sehingga kurang tepat digunakan pada kalimat tersebut. Yang berhubungan dengan data adalah statistika. Jadi, statika seharusnya diganti dengan statistika (E).
Tulisan berikut diikuti oleh delapan butir pertanyaan. Pertimbangkan apakah kata atau kalimat pada setiap nomor bercetak tebal TIDAK PERLU DIPERBAIKI (A) atau diganti dengan pilihan lain yang tersedia (B, C, D, atau E).                                                                                          Jahe (Zingiber officinale var Roscoe) termasuk salah satu (1)komoditas rempah yang sangat penting di Indonesia. Berdasarkan data (2)statika, produksi jahe (3)nasional tahun 2009 mencapai lebih dari 154 ton dan diperkirakan akan terus meningkat. Menurut data BPS tahun 2010, luas penanaman rimpang jahe yang tersebar di seluruh wilayah (4)nusantara mencapai lebih dari 60 juta m2. Daerah utama penghasil jahe (5)yaitu Jawa Tengah dan Jawa Timur. Saat ini, Indonesia menempati peringkat ketiga setelah India dan China dalam (6)kontribusi produksi jahe dunia. Rempah-rempah Indonesia telah dikenal hingga (7)manca negara sehingga memiliki peluang pasar yang baik. Oleh karena itu, Indonesia diharapkan dapat (8)menjadi pasar rempah dunia.Soal No.3;Tidak perlu diperbaiki;“nasional”;nasional;“Nasional”;Nasional;a;;;;;;Kata nasional sudah tepat, tidak perlu ditulis dengan huruf awal besar atau diapit dengan tanda petik. Jadi, jawabannya adalah opsi (A).
Tulisan berikut diikuti oleh delapan butir pertanyaan. Pertimbangkan apakah kata atau kalimat pada setiap nomor bercetak tebal TIDAK PERLU DIPERBAIKI (A) atau diganti dengan pilihan lain yang tersedia (B, C, D, atau E).                                                                                          Jahe (Zingiber officinale var Roscoe) termasuk salah satu (1)komoditas rempah yang sangat penting di Indonesia. Berdasarkan data (2)statika, produksi jahe (3)nasional tahun 2009 mencapai lebih dari 154 ton dan diperkirakan akan terus meningkat. Menurut data BPS tahun 2010, luas penanaman rimpang jahe yang tersebar di seluruh wilayah (4)nusantara mencapai lebih dari 60 juta m2. Daerah utama penghasil jahe (5)yaitu Jawa Tengah dan Jawa Timur. Saat ini, Indonesia menempati peringkat ketiga setelah India dan China dalam (6)kontribusi produksi jahe dunia. Rempah-rempah Indonesia telah dikenal hingga (7)manca negara sehingga memiliki peluang pasar yang baik. Oleh karena itu, Indonesia diharapkan dapat (8)menjadi pasar rempah dunia.Soal No.4;Tidak perlu diperbaiki;nusantara;“nusantara”;Nusantara;“Nusantara”;d;;;;;;Karena menyebut wilayah tertentu maka penulisan nusantara seharusnya diawali dengan huruf kapital. Jadi, kata nusantara seharusnya diganti Nusantara (D).
Tulisan berikut diikuti oleh delapan butir pertanyaan. Pertimbangkan apakah kata atau kalimat pada setiap nomor bercetak tebal TIDAK PERLU DIPERBAIKI (A) atau diganti dengan pilihan lain yang tersedia (B, C, D, atau E).                                                                                          Jahe (Zingiber officinale var Roscoe) termasuk salah satu (1)komoditas rempah yang sangat penting di Indonesia. Berdasarkan data (2)statika, produksi jahe (3)nasional tahun 2009 mencapai lebih dari 154 ton dan diperkirakan akan terus meningkat. Menurut data BPS tahun 2010, luas penanaman rimpang jahe yang tersebar di seluruh wilayah (4)nusantara mencapai lebih dari 60 juta m2. Daerah utama penghasil jahe (5)yaitu Jawa Tengah dan Jawa Timur. Saat ini, Indonesia menempati peringkat ketiga setelah India dan China dalam (6)kontribusi produksi jahe dunia. Rempah-rempah Indonesia telah dikenal hingga (7)manca negara sehingga memiliki peluang pasar yang baik. Oleh karena itu, Indonesia diharapkan dapat (8)menjadi pasar rempah dunia.Soal No.5;Tidak perlu diperbaiki;jadi;adalah;contoh;dengan demikian;c;;;;;;"Kata yaitu biasanya digunakan untuk menerangkan kata atau kalimat sebelumnya dan diawali dengan koma (,). Contoh penggunaan yaitu dan adalah. ; Daerah utama penghasil jahe ada di pulau Jawa, yaitu Jawa Tengah dan Jawa Timur. ; Daerah utama penghasil jahe adalah Jawa Tengah dan Jawa Timur. Jadi, kata yaitu seharusnya diganti dengan kata adalah (C)"
Tulisan berikut diikuti oleh delapan butir pertanyaan. Pertimbangkan apakah kata atau kalimat pada setiap nomor bercetak tebal TIDAK PERLU DIPERBAIKI (A) atau diganti dengan pilihan lain yang tersedia (B, C, D, atau E).                                                                                          Jahe (Zingiber officinale var Roscoe) termasuk salah satu (1)komoditas rempah yang sangat penting di Indonesia. Berdasarkan data (2)statika, produksi jahe (3)nasional tahun 2009 mencapai lebih dari 154 ton dan diperkirakan akan terus meningkat. Menurut data BPS tahun 2010, luas penanaman rimpang jahe yang tersebar di seluruh wilayah (4)nusantara mencapai lebih dari 60 juta m2. Daerah utama penghasil jahe (5)yaitu Jawa Tengah dan Jawa Timur. Saat ini, Indonesia menempati peringkat ketiga setelah India dan China dalam (6)kontribusi produksi jahe dunia. Rempah-rempah Indonesia telah dikenal hingga (7)manca negara sehingga memiliki peluang pasar yang baik. Oleh karena itu, Indonesia diharapkan dapat (8)menjadi pasar rempah dunia.Soal No.6;Tidak perlu diperbaiki;distribusi;pembelian;pemberian;kepemilikan;a;;;;;;Kata “kontribusi” sudah tepat dan tidak perlu diperbaiki. Jadi jawabannya adalah opsi (A).
Tulisan berikut diikuti oleh delapan butir pertanyaan. Pertimbangkan apakah kata atau kalimat pada setiap nomor bercetak tebal TIDAK PERLU DIPERBAIKI (A) atau diganti dengan pilihan lain yang tersedia (B, C, D, atau E).                                                                                          Jahe (Zingiber officinale var Roscoe) termasuk salah satu (1)komoditas rempah yang sangat penting di Indonesia. Berdasarkan data (2)statika, produksi jahe (3)nasional tahun 2009 mencapai lebih dari 154 ton dan diperkirakan akan terus meningkat. Menurut data BPS tahun 2010, luas penanaman rimpang jahe yang tersebar di seluruh wilayah (4)nusantara mencapai lebih dari 60 juta m2. Daerah utama penghasil jahe (5)yaitu Jawa Tengah dan Jawa Timur. Saat ini, Indonesia menempati peringkat ketiga setelah India dan China dalam (6)kontribusi produksi jahe dunia. Rempah-rempah Indonesia telah dikenal hingga (7)manca negara sehingga memiliki peluang pasar yang baik. Oleh karena itu, Indonesia diharapkan dapat (8)menjadi pasar rempah dunia.Soal No.7;Tidak perlu diperbaiki;mancanegara;mancanagara;“mancanegara”;"“manca nagara""";b;;;;;;Karena “manca” adalah partikel maka penulisannya harus digabung dengan kata bendanya. Tidak perlu diawali dengan huruf kapital karena bukan sebutan untuk wilayah tertentu. Jadi, manca negara seharusnya ditulis mancanegara (B).
Tulisan berikut diikuti oleh delapan butir pertanyaan. Pertimbangkan apakah kata atau kalimat pada setiap nomor bercetak tebal TIDAK PERLU DIPERBAIKI (A) atau diganti dengan pilihan lain yang tersedia (B, C, D, atau E).                                                                                          Jahe (Zingiber officinale var Roscoe) termasuk salah satu (1)komoditas rempah yang sangat penting di Indonesia. Berdasarkan data (2)statika, produksi jahe (3)nasional tahun 2009 mencapai lebih dari 154 ton dan diperkirakan akan terus meningkat. Menurut data BPS tahun 2010, luas penanaman rimpang jahe yang tersebar di seluruh wilayah (4)nusantara mencapai lebih dari 60 juta m2. Daerah utama penghasil jahe (5)yaitu Jawa Tengah dan Jawa Timur. Saat ini, Indonesia menempati peringkat ketiga setelah India dan China dalam (6)kontribusi produksi jahe dunia. Rempah-rempah Indonesia telah dikenal hingga (7)manca negara sehingga memiliki peluang pasar yang baik. Oleh karena itu, Indonesia diharapkan dapat (8)menjadi pasar rempah dunia.Soal No.8;Tidak perlu diperbaiki;merajai;memuncaki;meramaikan;meningkatkan;b;;;;;;Karena Indonesia sudah menempati peringkat tiga dunia dan dikenal hingga mancanegara maka “harapan” kita Indonesia akan “merajai” pasar rempah. Jadi, kata menjadi seharusnya diganti “merajai” (B).
Suatu restoran memperkerjakan 7 pegawai. Restoran tersebut memberi gaji masing-masing Rp192.500.000,00 pada 4 pegawai. Rp178.200.000,00 pada 2 pegawai, dan Rp156.700.000,00 pada seorang pegawai. Rata-rata gaji ketujuh pegawai tersebut berkisar pada ....;Rp183.100.000,00;Rp184.100.000,00;Rp183.200.000,00;Rp184.200.000,00;Rp183.300.000,00;e;;;;;;"Rata rata = x ; x = [(192.500.000 x 4) + (178.200.000 x 2) + (156.700.000 x 1)] / 7 = 1.283.100.000 / 7 = Rp183.300.000,00 (E)"
Sebotol sirup bisa digunakan untuk membuat 60 gelas minuman jika dilarutkan dalam air dengan perbandingan 1 bagian sirup untuk 4 bagian air. Berapa gelas minuman yang diperoleh dari sebotol sirup jika perbandingan larutan adalah 1 bagian sirup untuk 5 bagian air ??;65;68;70;75;80;d;;;;;;"1 bagian sirup untuk 4 bagian air = 60 gelas ; asumsikan 4 bagian air = 4 gelas air, karena menghasilkan 60 gelas, maka 1 bagian sirup = 1/15 sirup. 1 bagian sirup untuk 5 bagian air = 1/15 sirup = 5 gelas ; 15/15 sirup = 15.5 = 75 gelas"
Luffy akan menyerang Kaido. Peluang serangannya tepat sasaran ke tubuh Kaido adalah 3/5. Akan tetapi, Kaido sangat kuat. Peluang Kaido berhasil menangkis serangan Luffy adalah 8/9. Maka, Peluang Serangan Luffy berhasil mengenai Kaido adalah....;3 per 5;1 per 9;16 per 45;24 per 45;3 per 45;e;;;;;;Serangan Luffy berhasil mengenai Kaido berarti serangan tepat sasaran dan Kaido gagal menangkis = 3/5 . 1/9 = 3/45
Sebuah kubus baja A memiliki berat 170 gram. Apabila terdapat kubus dengan bahan yang sama, dan panjang sisinya dua kali kubus A, maka beratnya adalah …… gram.;1360;1240;1120;1080;960;a;;;;;;"volume = ${ s }^{ 3 }$ = 170 gram ; Kubus b mempunyai sisi 2 kali kubus a ; v kubus b = 2s x 2s x 2s = (2s)$^{ 3 }$ = ${ 8s }^{ 3 }$, , substitusikan ${ s }^{ 3 }$ dengan 170, sehingga bentuknya menjadi 8 x 170 = 1360 (A)"
Sebuah lemari memiliki D laci. Setiap laci mengandung H wadah map, dan setiap map mengandung 20 map manila. Berapa map manila yang ada di 3 lemari seperti itu?;30D/H;30DH;60/DH;60DH;60D/H;d;;;;;;Banyak map manila (n) merupakan perkalian dari banyak lemari,  banyak laci, banyak wadah map, banyak map manila dalam wadah map. n = 3 x D x  H x 20 = 60DH. Jadi, banyak map manila yang ada di 3 lemari seperti itu adalah 60DH (D).
Dua lukisan persegi panjang, R dan S, memiliki luas yang sama. Lukisan R berukuran 2 kaki × 6 kaki. Jika lukisan S memiliki tinggi 4 kaki. Berapakah lebar lukisan S dalam satuan kaki?;2 3/4;3;4;8;12;b;;;;;;"Persegi panjang R dan S mempunyai luas yang sama. ; LR = LS ; 2 x 6 = 4 x l ; 4l = 12 ; l = 3. ; Jadi, lebar lukisan S adalah 3 kaki (B)."
Jika cos x = 2/5 maka sin (90+x) = …;2 per 5;3 per 5;4 per 5;1;1 per 2;a;;;;;;"Cos x = 2/5 ; sin (90+x) = cos x = 2/5"
Jika x1 dan x2 adalah akar-akar dari (5-2 log x) log x = log 1000, $x{ 1 }^{ 2 }+x{ 2 }^{ 2 }$ adalah ….;0;10;100;110;1100;e;;;;;;"5-2 log x) log x = log 1000 ; 5 log x-$2\log { ^{ 2 } } x$ = 3 ; $2\log { ^{ 2 } } x$-5 log x+3 = 0 ; (2 log x-3) (log x-1) = 0 ; log x = 3/2 atau log x = 1 ; x1 = ${ 10 }^{ \frac { 1 }{ 2 }  }$ atau x2 = 10 ; jadi ${ x1 }^{ 2 }+{ x }2^{ 2 }$ adalah 1100"
Jika x1 dan x2 adalah solusi dari persamaan $3^{ 2x+2 }-28.3^{ x }+3=0$, x1 + x2 adalah …..;-2;-1;0;1;2;b;;;;;;"${ 3 }^{ 2x+2 }-28.{ 3 }^{ x }+3=0$ ; 9. ${ 3 }^{ 2x+2 }-28.{ 3 }^{ x }+3=0$ ; (9.${ 3 }^{ x }$-1)(${ 3 }^{ x }$-3) = 0 ; ${ 3 }^{ x }$ = 1/9 = ${ 3 }^{ -2 }$ atau ${ 3 }^{ x }$ = ${ 3 }^{ 1 }$ ; x1 = -2 atau x2 = 1, jadi x1+x2 = -1"
Pertidaksamaan 2x-a > $\frac { x-1 }{ 2 } +\frac { ax }{ 3 }$ mempunyai penyelesaian x > 5. Nilai a adalah…;2;3;4;5;6;b;;;;;;"2x-a > x-1/2 + ax/3 ; 12x-6a > 3x-3+2ax ; (9-2a)x > 6a-3 ; x > 6a-3/9-2a ; 6a-3/9-2a = 5 ; 6a-3 = 45-10a ; 16a = 48 ; a = 3"
